Key,Russian,English
InteractionObject_ElectricalPanel,Электрическая панель,Electrical panel
InteractionObject_Light,Свет,Light
InteractionObject_Loot_Ammo_12gauge_Box,Коробка с зарядами дроби,Box with 12gauge shots
InteractionObject_Loot_Ammo_9mm_Box,Коробка с патронами 9мм,Box with 9mm bullets
InteractionObject_Loot_Consumable_Drink_SparklingWater,Газированная вода,Sarkling water
InteractionObject_Loot_Consumable_Food_Cake,Торт,Cake
InteractionObject_Loot_Consumable_Food_RottenMeat,Гнилое мясо,Rotten meat
InteractionObject_Loot_HealthShawarma,Шаурма,Shawarma
InteractionObject_Loot_Key_1_Scene_1_Church_ChurchQuartersDoor,Ключ от церковных комнат,Church quarters key
InteractionObject_Loot_Key_2_Scene_1_Street_ChurchYardGate,Ключ от калитки церковного двора,Church yard gate key
InteractionObject_Loot_ManaSyrup,Сироп от кашля,Cough syrup
InteractionObject_Loot_Valuable_FinancialBond_RussoAmericanCO,Облигация Русско-Американской Компании,Russo-American CO bond
InteractionObject_Loot_Valuable_FinancialStockShare_BranobelBank,Акция Бранобель Банка,Branobel Bank stocks
InteractionObject_Loot_Valuable_GoldBar,Золотой слиток,Gold bar
InteractionObject_Loot_Valuable_Money_Ruble_1,1 рубль,1 ruble
InteractionObject_Loot_Valuable_Money_Ruble_10,10 Рублей,10 rubles
InteractionObject_Loot_Valuable_Money_Ruble_100,100 рублей,100 rubles
InteractionObject_Loot_Valuable_Money_Ruble_2,2 рубля,2 rubles
InteractionObject_Loot_Valuable_Money_Ruble_25,25 рублей,25 rubles
InteractionObject_Loot_Valuable_Money_Ruble_5,5 рублей,5 rubles
InteractionObject_Loot_Valuable_Money_Ruble_50,50 рублей,50 rubles
InteractionObject_Note_Map_Europe,Карта Европы,Map of Europe
InteractionObject_Note_Map_NorthAmerica,Карта Северной Америки,North America map
InteractionObject_Note_Map_RussianRepublic,Карта Российской Республики,Russian Republic map
InteractionObject_Note_Map_World,Карта мира,World map
InteractionObject_Note_Newspaper_LiberalHerald,Газета Либеральный Глашатай,Liberal Herald Newspaper
InteractionObject_Note_Painting,Картина,Painting
InteractionObject_Note_Poster,Постер,Poster
InteractionObject_Openable_Door_DoorElectricalPanel,Дверца электронной панели,Electrical panel door
InteractionObject_Openable_Door_DoorWooden,Деревянная дверь,Wooden door
InteractionObject_Openable_Door_Wardrobe,Шкаф,Wardrobe
InteractionObject_Openable_Sliding_Drawer,Ящик,Drawer
